status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
1.25057E+18,794120640,2020-04-16T00:00:12Z,josemarceloroch,"Vendo a quantidade de dificuldades que principalmente as pessoas desempregadas estão passando é de corta o coração?? sr.Raimundo Q sirva pra de exemplo pra Todos nós.!!!
#COVID19 
#JN https://t.co/Ernqux9KGp",Twitter for Android,,,,FALSE,FALSE,834,0,BR,"Caldas Novas, Brasil",city,81,396,,8/31/2012 12:44,FALSE,pt
1.25057E+18,1.04943E+18,2020-04-16T00:00:35Z,Pe_de_Jambo,Meu feed é resumido em: #BBB2O e #COVID19,Twitter for Android,,,,FALSE,FALSE,2285,0,BR,"Salvador, Brazil",city,23,93,,10/8/2018 19:57,FALSE,pt
1.25057E+18,69141491,2020-04-16T00:00:45Z,ThiagoRBrandao,"""Seu José "" madrugando na fila em Madureira(...) Apareceu uma empresária iluminada por Deus para lhe dar um emprego! Graças a Deus! @STJnoticias @JornalOGlobo @jornalnacional @RedeGlobo #COVID19",Twitter for Android,,,,FALSE,FALSE,27983,0,BR,"Rio de Janeiro, Brazil",city,857,937,,8/26/2009 21:07,FALSE,pt
1.25057E+18,162540860,2020-04-16T00:01:06Z,marceloblax,#COVID19 #coronavirusbrasil https://t.co/4o13AfU9I3,Twitter for Android,,,,FALSE,FALSE,254,0,BR,"Belém, Brazil",city,369,736,,7/3/2010 21:21,FALSE,und
1.25058E+18,1.09142E+18,2020-04-16T00:01:52Z,CampoLimpoNotic,"#Saúde
Levantamento de óbitos pelo coronavírus de acordo com cada subprefeitura.
Ficar em casa é a medida mais importante para evitar que o Covid-19 se espalhe.

#CampoLimpoZonaSul #ZonaSul #ZonaSulNoticias #CampoLimpo #CampoLimpoNotícias #Covid19 #CoronavírusSãoPaulo https://t.co/MCo7bl4mzJ",Twitter for Android,,,,FALSE,FALSE,343,0,BR,"Sao Paulo, Brazil",city,34,165,,2/1/2019 17:21,FALSE,pt
1.25058E+18,272157138,2020-04-16T00:02:20Z,DouglasRCarvalh,"O pior de todos!

LEIA AQUI https://t.co/UofvOqiiqh
#Coronavírus #ForaBolsonaro #BolsonaroOpior em Anápolis, Brazil https://t.co/uv9iIZOb52",Instagram,,,,FALSE,FALSE,1608,0,BR,"Anápolis, Brasil",city,205,254,,3/25/2011 20:26,FALSE,pt
1.25058E+18,4872609982,2020-04-16T00:03:35Z,cadu_filmes,"Campanha 3 - Juntos contra o Coronavírus!
.
#fiqueemcasa #juntoscontraocoronavirus #novocoronavirus #coronavirus #covid19 #cadufilmes #caduragem https://t.co/rBB06s9LaQ https://t.co/xoCZ7xfrVz",Twitter for Android,,,,FALSE,FALSE,205,1,BR,"Sao Paulo, Brazil",city,24,60,,2/2/2016 18:38,FALSE,pt
1.25058E+18,373609363,2020-04-16T00:04:08Z,mocorongoz,"?? Brasil ???? 
Quando isso vai passar?
O *Ministério da Saúde* atualiza a situação do #coronavírus no Brasil - *15/04*: 

?? *28.320* *casos* 
?? *1.736* *óbitos*

#COVID19 https://t.co/ljL0ktpH1f",Twitter for Android,,,,FALSE,FALSE,1664,0,BR,"Brasília, Brazil",city,437,2134,,9/14/2011 19:23,FALSE,pt
1.25058E+18,8.11968E+17,2020-04-16T00:05:37Z,guilherme_tacao,#MasksForAll #COVID19 #StayHome https://t.co/mDSyirBqGB,Twitter for iPhone,,,,TRUE,FALSE,3941,0,BR,"Presidente Prudente, Brasil",city,57,337,,12/22/2016 14:12,FALSE,und
1.25058E+18,88428861,2020-04-16T00:07:07Z,KELDYOZBIEL,"Metamorfose ambulante 
Toca Raul...
#FICAEMCASA #COVID19 #CORONAVIRUS em Primeiro De Maio 304 Centro De Pirassununga https://t.co/lGBqnTLo3q",Instagram,,,,FALSE,FALSE,2326,0,BR,"Pirassununga, Brasil",city,448,950,,11/8/2009 12:26,FALSE,pt
1.25058E+18,166375931,2020-04-16T00:07:25Z,PrefeituraBNU,"Confira aqui o Boletim Coronavírus Blumenau atualizado, com os assuntos abordados na live de hoje: https://t.co/er9hCqqeRi

Informe-se pelos meios oficiais e não compartilhe Fake News.

#Coronavírus #FiqueEmCasa #UseMáscara #BlumenauContraoCoronavírus https://t.co/3DAIgFn7pV",Twitter for iPhone,,,,FALSE,FALSE,312,2,BR,"Blumenau, Brasil",city,15309,162,,7/13/2010 21:37,TRUE,pt
1.25058E+18,3048389445,2020-04-16T00:07:35Z,cgisaopaulo,"#StayHomeStaySafe 
#FightAgainstCoronavirus https://t.co/Ub605F5xAX",Twitter for Android,,,,TRUE,FALSE,446,0,BR,"Sao Paulo, Brazil",city,10007,492,,2/21/2015 0:03,TRUE,und
1.25058E+18,29108940,2020-04-16T00:07:56Z,Castellito,"#farmagalera 

Hoje coloquei o vídeo nos meus stories da moça que jura de pés juntos que o #quinino da #aguatonica consegue tratar o #coronavírus. 

Coloquei como uma brincadeira mas como teve amigos que levaram a… https://t.co/SAqCiRTZv7",Instagram,,,,FALSE,FALSE,4576,0,BR,"Santarém, Brasil",city,2450,768,,4/5/2009 21:57,FALSE,pt
1.25058E+18,8.11968E+17,2020-04-16T00:08:27Z,guilherme_tacao,Droplets during speech! ?? #MasksForAll #COVID19 https://t.co/SXgvELMpDN,Twitter for iPhone,,,,TRUE,FALSE,3941,0,BR,"Presidente Prudente, Brasil",city,57,337,,12/22/2016 14:12,FALSE,en
1.25058E+18,23422397,2020-04-16T00:09:16Z,andrecarus,"Não se importe em provar para os outros quem você é, o que já fez ou faz. Prove isso para a sua consciência. A caminhada da vida é dura, estamos aprendendo todos os dias. É preciso resiliência e esperança. Seguimos...
Boa noite!
#fiqueemcasa 
#covid_19 https://t.co/3YY9oReV81",Twitter for Android,,,,FALSE,FALSE,4113,0,BR,"Porto Alegre, Brazil",city,2482,2824,,3/9/2009 7:46,FALSE,pt
1.25058E+18,4332256576,2020-04-16T00:10:25Z,otiagosiqueira,"OS MELHORES FILMES PARA VOCÊ!!! #Apple #noticias24 #Netflix #filmes #quarentena #COVID?19 #Covid_19 #FiqueEmCasa 

https://t.co/y1eI7TqMEP
https://t.co/y1eI7TqMEP
https://t.co/y1eI7TqMEP https://t.co/YpBSsKgifP",Twitter for iPhone,,,,FALSE,FALSE,855,0,BR,"Guarulhos, Brasil",city,134,275,,11/30/2015 17:54,FALSE,pt
1.25058E+18,92350294,2020-04-16T00:10:41Z,thaissarosa,"Descubra o erro
#noticias24 #jantar #comida #comedia #Covid_19 #comedy #bbb #piada #Apple https://t.co/tHxefdldgB",Twitter for Android,,,,FALSE,FALSE,5131,0,BR,"Rio de Janeiro, Brazil",city,419,492,,11/24/2009 17:55,FALSE,es
1.25058E+18,88428861,2020-04-16T00:10:47Z,KELDYOZBIEL,"Meu bem vc me da #aguanaboca 
#ritalee #loucuras 
nada melhor do que não fazer nada ....
#FICAEMCASA #COVID19 #CORONAVIRUS em Primeiro De Maio 304 Centro De Pirassununga https://t.co/4NNGn2H5nO",Instagram,,,,FALSE,FALSE,2326,0,BR,"Pirassununga, Brasil",city,448,950,,11/8/2009 12:26,FALSE,pt
1.25058E+18,46596744,2020-04-16T00:11:01Z,obrunovalente,"Angústia. Incerteza. Ansiedade. Estresse. Até onde vai isso tudo?! Tá foda
#Covid_19",Twitter for iPhone,,,,FALSE,FALSE,894,0,BR,"Rio de Janeiro, Brazil",city,218,175,,6/12/2009 3:22,FALSE,pt
1.25058E+18,1.20707E+18,2020-04-16T00:11:10Z,CelebridadesDas,@jornalnacional O diretor da OMS (@who Wolrd Health Organization) jantando o @realDonaldTrump. Trump WTF? #coronavirusbrasil #COVID19 #COVID?19 #CoronaVirusChallenge #CoronaCrisis,Twitter for Android,1.25057E+18,214570761,jornalnacional,FALSE,FALSE,1605,1,BR,"Rio de Janeiro, Brazil",city,24,103,,12/17/2019 19:53,FALSE,en
1.25058E+18,77280250,2020-04-16T00:11:15Z,Victor_com,"#coronavirus #Covid_19 #BolsonaroTemRazao 
#gripezinha #AbortoNAO https://t.co/6uYCds9Gci",Twitter for Android,,,,FALSE,FALSE,3474,1,BR,"Rio de Janeiro, Brazil",city,7518,3142,,9/25/2009 15:40,FALSE,und
1.25058E+18,1.14104E+18,2020-04-16T00:12:06Z,AldoAlmeida15,"Trump demorou muito a levar a epidemia de #coronavirus a sério e tomar medidas firmes para contê-la. Resultado? Só até agora, mais de 25 mil mortes e 600 mil contaminações confirmadas nos EUA. Solução?Culpar OMS e cortar seu financiamento. https://t.co/1qYf6cecbu #covid #COVID19 https://t.co/vB5SGtAaYY",Twitter for Android,,,,FALSE,FALSE,6785,0,BR,"Santos, Brasil",city,83,593,,6/18/2019 15:06,FALSE,pt
1.25058E+18,82962895,2020-04-16T00:13:10Z,solbrasill,Sabem qual o problema q ele ficou a noite toda sentado em um caixote numa fila tentando resolver? O tal d cpf... simmmm existem sim brasileiros  muitos q não sabem p q serve cpf até o momento q precisam... p comer... #quemprecisa #covid19 #auxilioemergencial #Pensoeu  #boanoite https://t.co/lDWdx7gbZa,Twitter for iPhone,,,,FALSE,FALSE,2634,1,BR,"Blumenau, Brasil",city,1243,1749,,10/16/2009 17:15,FALSE,pt
1.25058E+18,395693077,2020-04-16T00:15:07Z,Alelopes81Lopes,"Estamos em colapso pela #COVID19.

Aí a PÔHA do @STF_oficial vota para que Prefeitos e Governadores decidam quando voltaremos a exercer nosso direito constitucional de ir, vir e trabalhar.

Como se não bastasse, pautaram o aborto para o dia 24.

Não tem outras prioridades Brasil? https://t.co/m2EFtCLe8x",Twitter for iPhone,,,,FALSE,FALSE,43887,17,BR,Puta que Pariu,poi,6592,6636,,10/22/2011 0:50,FALSE,pt
1.25058E+18,1.25046E+18,2020-04-16T00:18:02Z,CeliaMa03056103,Protocolo de Manejo Clínico do #COVID19 na Atenção Especializada https://t.co/Rq0rvvcWzY,Twitter for Android,,,,FALSE,FALSE,20,0,BR,Empresarial Domingos Ferreira,poi,1,24,,4/15/2020 13:38,FALSE,pt
1.25058E+18,1.22297E+18,2020-04-16T00:21:42Z,cirobbb,Postar uma foto do Paraíso nota esquecer um pouco a pandemia #Covid_19 #quarentena https://t.co/cU7kBI9bgw,Twitter for iPhone,,,,FALSE,FALSE,1621,0,BR,"Alto Parnaíba, Brasil",city,30,134,,1/30/2020 17:02,FALSE,pt
1.25058E+18,110254951,2020-04-16T00:21:54Z,vanderleibahia,O Trump acabou de fazer uma pirraça e cortar toda a verba à Organização Mundial da Saúde -- no meio da pandemia da #Covid19! Mas esse apelo gigantesco para salvar a OMS está viralizando! https://t.co/SFsGQ8jcTY #CoronavirusLockdown #SalveOMS #pandemia #TrumpMaluco #TrumpGenocide,Twitter for iPhone,,,,FALSE,FALSE,2604,0,BR,"Planalto, Brasil",city,154,1425,,1/31/2010 20:44,FALSE,pt
1.25058E+18,153904966,2020-04-16T00:23:13Z,ofelipeb,"Bola fora os testes de anticorpos, a bala de prata de Trump para mandar as pessoas de volta ao trabalho, atestando que elas tiveram #COVID19 e agora estariam ""imunizadas"". Só que a FDA relaxou as regras e tem um monte de testes vagabundos no mercado.

https://t.co/gFTsWYGi6t",Twitter for Android,,,,FALSE,FALSE,56800,0,BR,"Rio de Janeiro, Brazil",city,1332,76,,6/9/2010 18:09,FALSE,pt
1.25058E+18,153904966,2020-04-16T00:23:13Z,ofelipeb,"Testes de anticorpos de boa qualidade, como os da Anitta, só terão massa crítica de produção em Junho. Ainda assim, longe da quantidade necessária para testagem da massa trabalhadora. E voltar ao trabalho sem biossegurança é condenar os não infectados ao sacrifício da #COVID19.",Twitter for Android,1.25058E+18,153904966,ofelipeb,FALSE,FALSE,56800,0,BR,"Rio de Janeiro, Brazil",city,1332,76,,6/9/2010 18:09,FALSE,pt
